OBJECTID,PA_MCPI,POINT_X,POINT_Y,POINT_X_SP,POINT_Y_SP
208,003454961000,-77.34303489,39.04948701,11811488.501875,7067328.41541667
209,003455053000,-77.3429925,39.0492611,11811501.5760417,7067246.294375
210,003455219000,-77.34296254,39.04833454,11811514.3389583,7066908.95937499
211,003455245000,-77.34295046,39.04904127,11811514.525625,7067166.38437501
212,003455328000,-77.34289543,39.0485839,11811532.250625,7067000.0125
213,003455337000,-77.34290683,39.04881714,11811527.9439583,7067084.91500001
214,003455504000,-77.34287812,39.04800038,11811539.845,7066787.56291667
215,003456048000,-77.34303679,39.0498117,11811486.4729167,7067446.65666667
216,003461689000,-77.34060325,39.05033067,11812175.1575,7067644.38020833
217,003461962000,-77.34064459,39.0495986,11812166.78375,7067377.61812501
218,003462146000,-77.34054051,39.04910775,11812198.5995833,7067199.23208334
219,003462835000,-77.34022057,39.04880209,11812290.86375,7067089.06145833
220,003463018000,-77.34016456,39.0482546,11812309.2866667,7066889.87291667
221,003463171000,-77.3401714,39.04978422,11812300.3064583,7067446.916875
222,003463292000,-77.34010236,39.05038854,11812317.1316667,7067667.25291666
223,003464390000,-77.33971743,39.05030755,11812426.8147917,7067639.13875
224,003464541000,-77.33966196,39.04890158,11812449.0395833,7067127.29916666
225,003464670000,-77.33963549,39.04966197,11812453.0560417,7067404.31770833
226,003464719000,-77.33963418,39.04833968,11812459.5160417,7066922.75979167
227,003465692000,-77.33926745,39.05027347,11812554.756875,7067628.34166667
228,003465938000,-77.33919702,39.04878766,11812581.5975,7067087.48020834
229,003466168000,-77.33910108,39.0496057,11812605.0766667,7067385.74645834
230,003466216000,-77.33910628,39.04818502,11812610.1422917,7066868.33166666
231,003466889000,-77.33884596,39.05020875,11812674.7477083,7067606.28687499
232,003467034000,-77.33880958,39.04867611,11812692.1395833,7067048.24645834
233,003467762000,-77.33857231,39.04940239,11812756.1727083,7067313.59937499
234,003467806000,-77.33855875,39.04804409,11812766.2825,7066818.97125
235,003468391000,-77.33833538,39.05025588,11812819.5216667,7067625.2825
236,003468421000,-77.33829514,39.04831432,11812839.89875,7066918.3325
237,003468575000,-77.338209,39.04981521,11812857.4420833,7067465.25020833
238,003469130000,-77.33807539,39.04859649,11812901.0041667,7067021.88833334
239,003469556000,-77.33790011,39.04921889,11812947.9104167,7067249.18708333
240,003470683000,-77.33745137,39.0499698,11813071.8789583,7067524.27458334
241,003471029000,-77.33742917,39.04850153,11813084.9572917,7066989.628125
242,003471437000,-77.33723007,39.04878252,11813140.2010417,7067092.67833333
243,003472154000,-77.33701891,39.04924251,11813198.04375,7067260.96062501
244,003472183000,-77.33702868,39.05006559,11813191.4727083,7067560.6825
245,003473778000,-77.33640328,39.04987824,11813369.9379167,7067494.69875
246,005105125000,-77.34644362,39.05128882,11810512.2445833,7067972.43416667
247,005105141000,-77.34644475,39.051741,11810509.855625,7068137.10916667
248,005105559000,-77.34628703,39.05227174,11810552.2129167,7068330.96020833
249,005105805000,-77.346263,39.05070516,11810566.2085417,7067760.51541667
250,005106239000,-77.34605364,39.05167542,11810621.2195833,7068114.62229167
251,005106556000,-77.34593831,39.05214776,11810651.8077083,7068287.05541667
252,005106871000,-77.345841,39.05255936,11810677.555,7068437.30083333
253,005106924000,-77.34578472,39.05124666,11810699.5491667,7067959.43104167
254,005107138000,-77.345734,39.05166764,11810712.025,7068112.93041667
255,005107206000,-77.34567532,39.05074977,11810732.8895833,7067778.85979167
256,005107647000,-77.34397799,39.05223457,11811208.07875,7068325.67458333
257,005107661000,-77.34553285,39.05226829,11810766.394375,7068332.39624999
258,005107752000,-77.34552509,39.05201665,11810769.750625,7068240.78
259,005108024000,-77.34540188,39.05123532,11810808.3158333,7067956.6675
260,005108139000,-77.34539507,39.05165253,11810808.3385417,7068108.63645834
261,005108202000,-77.34535448,39.05059572,11810824.708125,7067723.903125
262,005108672000,-77.3453198,39.05255263,11810825.590625,7068436.71083334
263,005108905000,-77.34520507,39.05073079,11810866.5177083,7067773.62541667
264,005109038000,-77.34506169,39.05164995,11810903.02,7068108.88770834
265,005109124000,-77.3450679,39.05122777,11810903.1929167,7067955.11020833
266,005109352000,-77.34495937,39.05201176,11810930.4183333,7068241.01854166
267,005109361000,-77.34496709,39.05226318,11810927.075625,7068332.55541667
268,005109604000,-77.34482307,39.05073067,11810974.9964583,7067774.94979167
269,005159854000,-77.36237692,39.05222565,11805983.3941667,7068257.15458333
270,005159876000,-77.36224748,39.0527634,11806017.7225,7068453.453125
271,005159927000,-77.36238805,39.05149964,11805983.50875,7067992.708125
272,005159936000,-77.36240197,39.0517375,11805978.4827083,7068079.28458333
273,005159946000,-77.36239691,39.05197565,11805978.84375,7068166.03354166
274,005160109000,-77.36230076,39.05099688,11806010.5675,7067809.91458334
275,005160118000,-77.36235243,39.05125286,11805994.7372917,7067902.95833333
276,005160360000,-77.36233988,39.05249171,11805992.709375,7068354.17937501
277,005160683000,-77.3620256,39.05299535,11806079.6827083,7068538.70729166
278,005161590000,-77.36172967,39.05317989,11806162.8845833,7068606.95729166
279,005161931000,-77.36168379,39.05161414,11806182.981875,7068036.88645834
280,005161941000,-77.36170123,39.05183476,11806177.0347917,7068117.17208333
281,005162049000,-77.3616494,39.05205642,11806190.7508333,7068198.08020833
282,005162125000,-77.36160574,39.05141466,11806206.0475,7067964.51395833
283,005162256000,-77.36152774,39.05226098,11806224.3745833,7068273.00958334
284,005162518000,-77.36147887,39.05122032,11806242.9529167,7067894.18187501
285,005162694000,-77.36140028,39.05331274,11806255.81875,7068656.49729167
286,005162762000,-77.36133798,39.05243125,11806277.4925,7068335.68916667
287,005163112000,-77.3612717,39.05104473,11806302.5777083,7067830.965
288,005163142000,-77.36128017,39.05186636,11806296.4595833,7068130.16500001
289,005163333000,-77.36120028,39.05162852,11806320.2197917,7068043.826875
290,005163349000,-77.3611766,39.05212853,11806324.6875,7068226.00937501
291,005163567000,-77.36104595,39.05254719,11806359.8954167,7068378.94
292,005163625000,-77.36106877,39.0514045,11806358.5770833,7067962.70604166
293,005163796000,-77.36099284,39.05335755,11806371.315,7068674.25416666
294,005163808000,-77.36102009,39.05092326,11806374.576875,7067787.61333333
295,005164319000,-77.360844,39.05123667,11806423.1647917,7067902.37291667
296,005164505000,-77.36075408,39.05085707,11806450.4160417,7067764.44291666
297,005164555000,-77.36077817,39.0522406,11806437.32125,7068268.22875001
298,005164568000,-77.36073633,39.05260669,11806447.5489583,7068401.70020834
299,005164797000,-77.36066634,39.05336681,11806463.9864583,7068678.77604167
300,005164937000,-77.36059037,39.05174905,11806492.871875,7068089.871875
301,005165045000,-77.36057396,39.05200234,11806496.3889583,7068182.17541666
302,005165115000,-77.36056854,39.05112973,11806501.8720833,7067864.39979167
303,005165303000,-77.36049306,39.05081005,11806524.7504167,7067748.23875
304,005165469000,-77.36042636,39.0526375,11806535.4316667,7068414.01520833
305,005165597000,-77.36038091,39.05334507,11806545.136875,7068671.86479166
306,005165661000,-77.36033841,39.05239535,11806561.5016667,7068326.13583334
307,005165732000,-77.36035454,39.05157131,11806560.6447917,7068025.97375
308,005165913000,-77.36026634,39.05107082,11806587.9547917,7067844.00812501
309,005165954000,-77.36024651,39.05219641,11806588.4970833,7068254.00750001
310,005166002000,-77.36022873,39.05076614,11806600.01375,7067733.18104167
311,005166245000,-77.36014952,39.05195639,11806617.1247917,7068166.93791667
312,005166298000,-77.36012624,39.05336071,11806617.3839583,7068678.45916666
313,005166526000,-77.36005289,39.05150432,11806646.6075,7068002.63875
314,005166801000,-77.35996158,39.05072663,11806676.0560417,7067719.73416667
315,005166813000,-77.35996679,39.05105425,11806673.095625,7067839.03270833
316,005166971000,-77.35988545,39.05266813,11806688.8927083,7068427.076875
317,005166999000,-77.35987179,39.05338128,11806689.5464583,7068686.84916666
318,005167137000,-77.35983995,39.05179155,11806705.7791667,7068107.99458334
319,005167362000,-77.35977037,39.05242817,11806722.6570833,7068340.091875
320,005167513000,-77.3596934,39.05105622,11806750.7208333,7067840.71250001
321,005167530000,-77.35970913,39.05151432,11806744.180625,7068007.49416667
322,005167601000,-77.35967723,39.05071765,11806756.845625,7067717.46645834
323,005167699000,-77.35961649,39.05340788,11806761.9216667,7068697.435
324,005167856000,-77.35958267,39.05223956,11806776.8104167,7068272.06395833
325,005167946000,-77.35950537,39.05198154,11806799.93,7068178.36854167
326,005167971000,-77.35953219,39.05265524,11806789.2660417,7068423.63041666
327,005168513000,-77.35937256,39.05105743,11806841.825,7067842.28520833
328,005168602000,-77.35932582,39.05074938,11806856.4920833,7067730.26208334
329,005168630000,-77.35934511,39.05151291,11806847.5602083,7068008.26229167
330,005168773000,-77.35928274,39.05272759,11806859.7727083,7068450.85770833
331,005168839000,-77.35925413,39.05177436,11806872.2120833,7068103.80374999
332,005169063000,-77.35916347,39.05242317,11806895.0191667,7068340.41354166
333,005169246000,-77.3591336,39.05197548,11806905.5302083,7068177.47437499
334,005169554000,-77.35898877,39.0521685,11806945.783125,7068248.28166667
335,005169876000,-77.358857,39.05279277,11806980.3752083,7068476.09791666
336,005170113000,-77.35879429,39.05108529,11807005.9120833,7067854.47416666
337,005170127000,-77.35878871,39.0514177,11807005.9927083,7067975.55166666
338,005170159000,-77.358802,39.05234965,11806997.999375,7068314.91395834
339,005170204000,-77.358768,39.050811,11807014.62125,7067754.67270833
340,005170733000,-77.35863013,39.05165495,11807049.950625,7068062.51625
341,005170780000,-77.35854895,39.0529053,11807067.34125,7068518.166875
342,005170842000,-77.35851116,39.05185701,11807082.8208333,7068136.52479167
343,005170868000,-77.35853386,39.05256199,11807073.1827083,7068393.19312499
344,005171104000,-77.35845718,39.05081023,11807102.8897917,7067755.48895833
345,005171226000,-77.358434,39.05137064,11807106.9333333,7067959.666875
346,005171415000,-77.35839035,39.05111495,11807120.4860417,7067866.70208333
347,005171552000,-77.35829289,39.05211284,11807143.6439583,7068230.46708333
348,005171584000,-77.35827867,39.05298795,11807143.7185417,7068549.22270833
349,005171774000,-77.35818034,39.05272122,11807172.8491667,7068452.42916666
350,005171902000,-77.35813716,39.05073832,11807194.0933333,7067730.42937501
351,005172137000,-77.35809668,39.05169121,11807201.27125,7068077.60583334
352,005172287000,-77.35801197,39.05307381,11807219.0614583,7068581.43354167
353,005172359000,-77.35797268,39.05229405,11807233.7529167,7068297.59145834
354,005172428000,-77.35798507,39.05147409,11807233.9479167,7067998.92666666
355,005172521000,-77.35792825,39.05127309,11807250.9960417,7067925.92791666
356,005172546000,-77.35793806,39.05194619,11807245.1589583,7068171.02645834
357,005172714000,-77.3578539,39.05106875,11807273.033125,7067851.76854166
358,005172778000,-77.35784946,39.05283307,11807266.3016667,7068494.331875
359,005172802000,-77.35784609,39.0508062,11807276.4422917,7067756.17958334
360,005173091000,-77.35773772,39.053167,11807296.5170833,7068616.34166667
361,005173262000,-77.35768002,39.05238103,11807316.4641667,7068330.30312499
362,005173682000,-77.35750367,39.05292173,11807364.0922917,7068527.84583333
363,005173794000,-77.35748606,39.05326499,11807367.5370833,7068652.9175
364,005173849000,-77.3574779,39.05204149,11807375.3989583,7068207.36020833
365,005174040000,-77.3573899,39.05177693,11807401.5879167,7068111.32145834
366,005174064000,-77.35739181,39.05243954,11807398.0414583,7068352.63291667
367,005174131000,-77.35738899,39.05155362,11807402.8579167,7068029.99833333
368,005174224000,-77.3573396,39.05134552,11807417.82625,7067954.38479167
369,005174316000,-77.35729048,39.05113072,11807432.750625,7067876.331875
370,005174407000,-77.35727175,39.05089177,11807439.1529167,7067789.37333333
371,005174698000,-77.35716371,39.05337174,11807458.5891667,7068692.93375
372,005174789000,-77.35713755,39.05311635,11807467.1745833,7068600.01770833
373,005174881000,-77.3571253,39.05290228,11807471.6245833,7068522.09770833
374,005174966000,-77.35707132,39.05250571,11807488.75125,7068377.86208333
375,005175150000,-77.35701516,39.05204681,11807506.7789583,7068210.93270834
376,005175157000,-77.35703278,39.05225864,11807500.8147917,7068288.0175
377,005175242000,-77.35698896,39.05183848,11807515.1633333,7068135.15479167
